team1,team2,possession team1,possession team2,possession in contest,number of goals team1,number of goals team2,category,total attempts team1,total attempts team2,conceded team1,conceded team2,goal inside the penalty area team1,goal inside the penalty area team2,goal outside the penalty area team1,goal outside the penalty area team2,assists team1,assists team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2,fouls against team1,fouls against team2,passes team1,passes team2,passes completed team1,passes completed team2,penalties scored team1,penalties scored team2,goal preventions team1,goal preventions team2,forced turnovers team1,forced turnovers team2,GroupID,attendance,venue,formation team1,formation team2,total_goals,total_passes,total_fouls,possession win
Cameroon,Brazil,31,56,13,1,0,Group,7,19,0,1,1,0,0,0,1,0,5,2,1,0,14,14,295,548,239,491,0,0,20,7,78,54,G,85986,Lusail Iconic Stadium,4-2-3-1,4-2-3-1,1,730,28,Loss
Netherlands,United States,33,54,13,3,1,Round of 16,11,18,1,3,3,1,0,0,3,1,2,0,0,0,10,5,396,567,320,487,0,0,18,13,101,77,,44846,Khalifa International Stadium,3-4-1-2,4-3-3,4,807,15,Loss
Argentina,Australia,53,35,12,2,1,Round of 16,14,5,1,2,2,0,0,0,1,0,0,2,0,0,8,15,711,450,635,381,0,0,5,14,67,73,,45032,Ahmed bin Ali Stadium,4-3-3,4-4-2,3,1016,23,Win
France,Poland,48,42,10,3,1,Round of 16,16,11,1,3,3,1,0,0,3,0,1,2,0,0,10,8,540,466,481,391,0,1,11,16,71,64,,40989,Al Thumama Stadium,4-2-3-1,4-1-4-1,4,872,18,Win
England,Senegal,54,35,11,3,0,Round of 16,8,10,0,3,3,0,0,0,3,0,0,1,0,0,16,12,597,393,523,320,0,0,10,8,60,74,,65985,Al Bayt Stadium,4-3-3,4-2-3-1,3,843,28,Win
Japan,Croatia,35,51,14,1,1,Round of 16,12,16,1,1,1,1,0,0,1,1,0,2,0,0,13,16,532,735,414,624,0,0,18,11,100,100,,42523,Al Janoub Stadium,3-4-3,4-3-3,2,1038,29,Draw
Brazil,Korea Republic,47,44,9,4,1,Round of 16,18,10,1,4,4,0,0,1,3,0,0,1,0,0,8,13,616,548,556,486,1,0,10,18,73,81,,43847,Stadium 974,4-2-3-1,4-4-2,5,1042,21,Win
Morocco,Spain,22,68,10,0,0,Round of 16,6,13,0,0,0,0,0,0,0,0,1,1,0,0,15,14,323,1041,229,967,0,0,14,6,100,66,,44667,Education City Stadium,4-3-3,4-3-3,0,1196,29,Draw
Portugal,Switzerland,43,48,9,6,1,Round of 16,14,10,1,6,6,1,0,0,5,0,0,2,0,0,12,10,461,512,392,436,0,0,10,15,71,54,,83720,Lusail Iconic Stadium,4-3-3,3-1-4-2,7,828,22,Loss
Croatia,Brazil,45,45,10,1,1,Quarter-final,9,20,1,1,1,1,0,0,1,1,2,3,0,0,22,24,715,695,632,625,0,0,21,9,95,77,,43893,Education City Stadium,4-3-3,4-2-3-1,2,1257,46,Draw
Netherlands,Argentina,45,44,11,2,2,Quarter-final,5,15,2,2,2,2,0,0,2,1,8,8,1,0,30,18,651,603,557,511,0,1,15,5,91,79,,88235,Lusail Iconic Stadium,3-4-1-2,5-3-2,4,1068,48,Draw
Morocco,Portugal,22,65,13,1,0,Quarter-final,9,11,0,1,1,0,0,0,1,0,3,1,1,0,15,9,229,678,171,592,0,0,11,10,88,44,,44198,Al Thumama Stadium,4-3-3,4-3-3,1,763,24,Loss
England,France,54,36,10,1,2,Quarter-final,14,9,2,1,1,1,0,1,0,2,1,3,0,0,10,14,508,369,453,310,1,0,9,15,49,54,,68895,Al Bayt Stadium,4-3-3,4-2-3-1,3,763,24,Loss
Argentina,Croatia,34,54,12,3,0,Semi-final,10,12,0,3,3,0,0,0,1,0,2,2,0,0,15,8,408,624,344,551,1,0,12,10,85,63,,88966,Lusail Iconic Stadium,4-4-2,4-3-3,3,895,23,Loss
France,Morocco,34,55,11,2,0,Semi-final,14,13,0,2,2,0,0,0,0,0,0,1,0,0,11,11,358,583,307,518,0,0,13,14,72,47,,68294,Al Bayt Stadium,4-2-3-1,5-4-1,2,825,22,Loss
Croatia,Morocco,45,45,10,2,1,Play-off for third place,14,7,1,2,2,1,0,0,2,0,0,2,0,0,13,11,491,494,430,428,0,0,7,14,75,72,,44137,Khalifa International Stadium,4-2-3-1,4-3-3,3,858,24,Loss
Argentina,France,46,40,14,3,3,Final,21,10,3,3,3,3,0,0,1,1,4,3,0,0,26,19,648,516,544,419,1,2,11,21,87,104,,88966,Lusail Iconic Stadium,4-3-3,4-2-3-1,6,963,45,Draw
